Complexity,Loss,Equation
1,6.6047265e-5,"-0.00020689104"
3,5.5049913e-5,"coeff(-4.0512166, DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)"
5,5.4953565e-5,"((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * -4.063537) - 0.0003104146)"
7,5.372619e-5,"(coeff(-0.11080218, DELTA_LOG_ICE_BRENT) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 3.9265795))"
8,4.9339138e-5,"((DELTA_LOG_ICE_BRENT * -0.059180774) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 3.878925))"
9,4.9325972e-5,"(((DELTA_LOG_ICE_BRENT * -0.059180774) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 3.878925)) - 0.00011473149)"
10,4.9306254e-5,"((DELTA_LOG_ICE_BRENT * (-0.059180774 - DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M)) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 3.878925))"
11,4.80745e-5,"(((DELTA_LOG_ICE_BRENT * -0.058998212) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 3.996923)) - coeff(-0.14083807, LAGGED_DELTA_LOG_NB_KKI))"
12,4.8061396e-5,"(((DELTA_LOG_ICE_BRENT * -0.058998212) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (3.996923 + -0.058998212))) - coeff(-0.14083807, LAGGED_DELTA_LOG_NB_KKI))"
13,4.801385e-5,"(((DELTA_LOG_ICE_BRENT * -0.056005288) - (DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (DELTA_LOG_ICE_BRENT + 3.9969158))) - coeff(-0.14081994, LAGGED_DELTA_LOG_NB_KKI))"
15,4.7612393e-5,"(((DELTA_LOG_ICE_BRENT * -0.05645204) - ((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 3.9968202) + cube(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM))) - (LAGGED_DELTA_LOG_NB_KKI * -0.15114509))"
17,4.7573085e-5,"(((DELTA_LOG_ICE_BRENT * -0.05645204) - ((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (DELTA_LOG_ICE_BRENT + 3.9968202)) + cube(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM))) - (LAGGED_DELTA_LOG_NB_KKI * -0.15114509))"
19,4.7525456e-5,"(((DELTA_LOG_ICE_BRENT * (LAGGED_DELTA_LOG_NB_KKI + -0.05687497)) - ((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * (LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM + 3.996847)) + cube(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM))) - (LAGGED_DELTA_LOG_NB_KKI * -0.15884495))"
21,4.740057e-5,"((((DELTA_LOG_ICE_BRENT * -0.050504733) - ((DELTA_CUSTOM_MYRSTUEN_INTEREST_DIFFERENCE_12M * 3.9967363) + cube(LAGGED_CUSTOM_MYRSTUEN_EQULIBIRUM))) + (LAGGED_DELTA_LOG_NB_KKI * 0.1396575)) + (isnegative(LAGGED_DELTA_LOG_NB_KKI) * DELTA_LOG_ICE_BRENT))"
