Complexity,Loss,Equation
1,0.0013834933,"4.513339"
3,0.00095936627,"(4.602847 - x7)"
5,0.0008082207,"(4.612572 - (x7 + x10))"
6,0.0008034453,"(4.613823 - (x7 + erf(x10)))"
7,0.00069140346,"(5.7304893 - (x1 ^ (x10 + 0.12876588)))"
8,0.0006567948,"(4.617718 - (x7 + abs(x8 + x0)))"
9,0.0005919936,"(5.8008766 - (x1 ^ ((x10 + 0.6823798) ^ x11)))"
10,0.00049734244,"(5.791107 - (x1 ^ (abs(x8 + x0) + 0.15820692)))"
11,0.00047717433,"(5.7978535 - (x1 ^ (erf(abs(x8 + x0)) + 0.16005696)))"
12,0.0004277665,"(5.948655 - (x1 ^ ((x10 * x9) + (24.80294 / cube(x11)))))"
13,0.0004235751,"(5.9542274 - (x1 ^ (abs(x10 * x9) + (25.021711 / cube(x11)))))"
14,0.0003559744,"((5.880223 - (x1 ^ (abs(x8 + x0) + (0.7101389 ^ x11)))) - x10)"
15,0.000308586,"(5.9244146 - (x1 ^ ((abs(x10 + x0) + (22.443764 / cube(x11))) + x10)))"
16,0.0003043765,"((5.9708548 - (x1 ^ (abs(x8 + x0) + (25.353817 / cube(x11))))) - erf(x10))"
17,0.0002917638,"(5.9578824 - (x1 ^ ((abs(x8 + x0) + (24.489944 / cube(x11))) + (x10 * 0.7667848))))"
18,0.000286027,"(5.988618 - (x1 ^ ((abs(x8 + erf(x0)) + ((34.933056 / cube(x11)) ^ 1.2870487)) + x10)))"
19,0.00028276,"(5.9883595 - ((x1 ^ 0.91016984) ^ ((abs(x8 + x0) + ((34.93391 / cube(x11)) ^ 1.1859231)) + x10)))"
20,0.0002705676,"(5.9703956 - ((x1 ^ 0.8881231) ^ ((abs(x8 + erf(x0)) + ((35.95774 / cube(x11)) ^ 1.2323673)) + x10)))"
21,0.00026575735,"(5.917156 - (x1 ^ ((abs(x8 + x0) + (22.25186 / cube(x11))) + (x10 ^ (6.064679e27 ^ erfc(sqrt(x14)))))))"
22,0.00026237167,"(5.8927646 - (x1 ^ ((abs(x8 + erf(x0)) + (20.793835 / cube(x11))) + (x10 ^ (2.598134e29 ^ erfc(sqrt(x14)))))))"
23,0.00025585343,"(5.9495096 - (x1 ^ ((abs(x8 + x0) + ((30.52342 / cube(x11)) ^ 1.2006677)) + (x10 ^ (6.831302e24 ^ erfc(sqrt(x14)))))))"
24,0.00024526956,"(5.9318132 - (x1 ^ ((abs(x8 + erf(x0)) + ((30.885725 / cube(x11)) ^ 1.2509794)) + (x10 ^ (2.085147e26 ^ erfc(sqrt(x14)))))))"
26,0.00024146872,"(5.9293885 - (x1 ^ ((abs(x8 + erf(x0)) + ((30.529148 / cube(x11)) ^ 1.2426242)) + (x10 ^ (2.085147e26 ^ (erfc(sqrt(x14)) + x13))))))"
27,0.0002384498,"((5.9248385 - (x1 ^ (abs(x8 + x0) + (22.560623 / cube(x11))))) - (((x10 * x9) ^ (9.323984e29 ^ erfc(sqrt(x14)))) * (12.687019 ^ x5)))"
28,0.00023553013,"((5.929126 - (x1 ^ (abs(abs(x8) + x0) + (22.857943 / cube(x11))))) - (((x10 * x9) ^ (9.51992e29 ^ erfc(sqrt(x14)))) * (9.519412 ^ x5)))"
29,0.00023228602,"((5.901455 - (x1 ^ (abs(abs(x8) + x0) + (21.48272 / cube(x11))))) - (((x10 * x9) ^ (7.712122e33 ^ erfc(sqrt(x14)))) * (erf(x7) * 12.92107)))"
30,0.00023015763,"((5.925333 - ((x1 - x6) ^ (abs(x8 + x0) + (23.015482 / cube(x11))))) - ((x10 ^ (1.531078e29 ^ erfc(sqrt(x14)))) * (exp(x9 * 5.2393055) ^ x7)))"
31,0.00022777947,"((5.8937116 - (x1 ^ (abs(abs(x8) + x0) + (21.084635 / cube(x11))))) - (((x10 * 0.5540108) ^ (2.751051e28 ^ erfc(sqrt(x14)))) * (exp(x9 * 9.10161) ^ x7)))"
